x,museum_code,region,ecology,parameter,mean,phylo_names,evapo,aridity,SVL
32,MVZ173773,VA,terrestrial_leaflitter,Sq,0.644708032,Adenomera_hylaedactyla,0.1369,1.6441,27.18
33,MVZ202378,DA,terrestrial_torrent,Sp,45.38109,Adenomus_kelaartii,0.1483,1.451,30.81
34,MVZ202375,VA,terrestrial_torrent,Sp,36.91733367,Adenomus_kelaartii,0.1483,1.451,22.7
35,MVZ202375,DA,terrestrial_torrent,Sp,33.10414533,Adenomus_kelaartii,0.1483,1.451,22.7
36,MVZ202375,VP,terrestrial_torrent,Sp,35.17348933,Adenomus_kelaartii,0.1483,1.451,22.7
37,MVZ202378,VA,terrestrial_torrent,Sp,38.320183,Adenomus_kelaartii,0.1483,1.451,30.81
38,MVZ202378,DP,terrestrial_torrent,Sp,37.807974,Adenomus_kelaartii,0.1483,1.451,30.81
39,MVZ202375,DP,terrestrial_torrent,Sp,41.86602267,Adenomus_kelaartii,0.1483,1.451,22.7
40,MVZ202378,VP,terrestrial_torrent,Sp,20.665748,Adenomus_kelaartii,0.1483,1.451,30.81
41,MVZ202378,DA,terrestrial_torrent,Sq,9.209900007,Adenomus_kelaartii,0.1483,1.451,30.81
42,MVZ202378,DP,terrestrial_torrent,Sq,6.102002064,Adenomus_kelaartii,0.1483,1.451,30.81
43,MVZ202375,DP,terrestrial_torrent,Sq,8.750792767,Adenomus_kelaartii,0.1483,1.451,22.7
44,MVZ202375,VP,terrestrial_torrent,Sq,6.868644835,Adenomus_kelaartii,0.1483,1.451,22.7
45,MVZ202375,VA,terrestrial_torrent,Sq,8.855695057,Adenomus_kelaartii,0.1483,1.451,22.7
46,MVZ202378,VP,terrestrial_torrent,Sq,5.301570355,Adenomus_kelaartii,0.1483,1.451,30.81
47,MVZ202378,VA,terrestrial_torrent,Sq,8.054283879,Adenomus_kelaartii,0.1483,1.451,30.81
48,MVZ202375,DA,terrestrial_torrent,Sq,5.732330891,Adenomus_kelaartii,0.1483,1.451,22.7
49,MVZ252397,VA,arboreal,Sp,24.773901,Afrixalus_dorsalis,0.1399,1.0658,26.83
50,MVZ252397,VP,arboreal,Sp,15.412547,Afrixalus_dorsalis,0.1399,1.0658,26.83
51,MVZ75164,VA,arboreal,Sp,12.12548133,Afrixalus_dorsalis,0.1569,0.581,22.11
52,MVZ252397,DP,arboreal,Sp,23.98470233,Afrixalus_dorsalis,0.1399,1.0658,26.83
53,MVZ250311,DP,arboreal,Sp,12.283128,Afrixalus_dorsalis,0.1561,1.7787,25.63
54,MVZ75162,VA,arboreal,Sp,8.568742667,Afrixalus_dorsalis,0.1391,1.1533,26.48
55,MVZ75164,DP,arboreal,Sp,18.38809933,Afrixalus_dorsalis,0.1569,0.581,22.11
56,MVZ252397,DA,arboreal,Sp,27.09459133,Afrixalus_dorsalis,0.1399,1.0658,26.83
57,MVZ75164,VP,arboreal,Sp,21.285424,Afrixalus_dorsalis,0.1569,0.581,22.11
58,MVZ250311,DA,arboreal,Sp,11.24199267,Afrixalus_dorsalis,0.1561,1.7787,25.63
59,MVZ250311,VP,arboreal,Sp,17.46178433,Afrixalus_dorsalis,0.1561,1.7787,25.63
60,MVZ75162,DA,arboreal,Sp,8.183735333,Afrixalus_dorsalis,0.1391,1.1533,26.48
61,MVZ250311,VA,arboreal,Sp,11.645197,Afrixalus_dorsalis,0.1561,1.7787,25.63
62,MVZ75164,DA,arboreal,Sp,18.80130167,Afrixalus_dorsalis,0.1569,0.581,22.11
63,MVZ75162,VP,arboreal,Sp,10.45631767,Afrixalus_dorsalis,0.1391,1.1533,26.48
64,MVZ75162,DP,arboreal,Sp,4.32102,Afrixalus_dorsalis,0.1391,1.1533,26.48
65,MVZ252397,VA,arboreal,Sq,7.18920252,Afrixalus_dorsalis,0.1399,1.0658,26.83
66,MVZ250311,DA,arboreal,Sq,2.858219236,Afrixalus_dorsalis,0.1561,1.7787,25.63
67,MVZ250311,DP,arboreal,Sq,3.077609657,Afrixalus_dorsalis,0.1561,1.7787,25.63
68,MVZ252397,DA,arboreal,Sq,3.802382795,Afrixalus_dorsalis,0.1399,1.0658,26.83
69,MVZ75162,VP,arboreal,Sq,3.681780319,Afrixalus_dorsalis,0.1391,1.1533,26.48
70,MVZ250311,VP,arboreal,Sq,4.509404581,Afrixalus_dorsalis,0.1561,1.7787,25.63
71,MVZ75162,DA,arboreal,Sq,1.775807434,Afrixalus_dorsalis,0.1391,1.1533,26.48
72,MVZ75164,VP,arboreal,Sq,3.355644779,Afrixalus_dorsalis,0.1569,0.581,22.11
73,MVZ250311,VA,arboreal,Sq,3.505096936,Afrixalus_dorsalis,0.1561,1.7787,25.63
74,MVZ75162,VA,arboreal,Sq,1.567508594,Afrixalus_dorsalis,0.1391,1.1533,26.48
75,MVZ252397,DP,arboreal,Sq,2.985422727,Afrixalus_dorsalis,0.1399,1.0658,26.83
76,MVZ252397,VP,arboreal,Sq,4.283864847,Afrixalus_dorsalis,0.1399,1.0658,26.83
77,MVZ75164,VA,arboreal,Sq,2.338877726,Afrixalus_dorsalis,0.1569,0.581,22.11
78,MVZ75164,DP,arboreal,Sq,1.951814125,Afrixalus_dorsalis,0.1569,0.581,22.11
79,MVZ75162,DP,arboreal,Sq,1.028624441,Afrixalus_dorsalis,0.1391,1.1533,26.48
80,MVZ75164,DA,arboreal,Sq,1.786452014,Afrixalus_dorsalis,0.1569,0.581,22.11
81,YALE12117,DA,arboreal,Sp,9.673397667,Agalychnis_callidryas,0.1576,2.3135,46.02
82,YALE12117,DA,arboreal,Sq,2.513738047,Agalychnis_callidryas,0.1576,2.3135,46.02
83,YALE12117,DP,arboreal,Sp,17.879608,Agalychnis_callidryas,0.1576,2.3135,46.02
84,YALE12117,DP,arboreal,Sq,3.018212358,Agalychnis_callidryas,0.1576,2.3135,46.02
85,YALE12117,VA,arboreal,Sp,21.50972133,Agalychnis_callidryas,0.1576,2.3135,46.02
86,YALE12117,VA,arboreal,Sq,6.823424814,Agalychnis_callidryas,0.1576,2.3135,46.02
87,YALE12117,VP,arboreal,Sp,20.72446633,Agalychnis_callidryas,0.1576,2.3135,46.02
88,YALE12117,VP,arboreal,Sq,6.767246733,Agalychnis_callidryas,0.1576,2.3135,46.02
89,KU155615,DA,terrestrial_torrent,Sp,22.97089833,Alcalus_baluensis,0.1436,2.3751,17.81
90,KU155615,VA,terrestrial_torrent,Sp,8.856060667,Alcalus_baluensis,0.1436,2.3751,17.81
91,KU155615,DP,terrestrial_torrent,Sp,17.00304033,Alcalus_baluensis,0.1436,2.3751,17.81
92,KU155615,VP,terrestrial_torrent,Sp,12.48553033,Alcalus_baluensis,0.1436,2.3751,17.81
93,KU155616,DA,terrestrial_torrent,Sp,25.81739667,Alcalus_baluensis,0.1436,2.3751,23.5
94,KU155616,VP,terrestrial_torrent,Sp,29.33255133,Alcalus_baluensis,0.1436,2.3751,23.5
95,KU155616,VA,terrestrial_torrent,Sp,16.490441,Alcalus_baluensis,0.1436,2.3751,23.5
96,KU155616,DP,terrestrial_torrent,Sp,28.86177067,Alcalus_baluensis,0.1436,2.3751,23.5
97,KU155616,DA,terrestrial_torrent,Sq,6.905249879,Alcalus_baluensis,0.1436,2.3751,23.5
98,KU155616,VP,terrestrial_torrent,Sq,5.48012695,Alcalus_baluensis,0.1436,2.3751,23.5
99,KU155616,DP,terrestrial_torrent,Sq,5.158724455,Alcalus_baluensis,0.1436,2.3751,23.5
100,KU155615,VP,terrestrial_torrent,Sq,2.775680712,Alcalus_baluensis,0.1436,2.3751,17.81
101,KU155615,DP,terrestrial_torrent,Sq,3.62041653,Alcalus_baluensis,0.1436,2.3751,17.81
102,KU155615,VA,terrestrial_torrent,Sq,2.106082101,Alcalus_baluensis,0.1436,2.3751,17.81
103,KU155615,DA,terrestrial_torrent,Sq,3.919169393,Alcalus_baluensis,0.1436,2.3751,17.81
104,KU155616,VA,terrestrial_torrent,Sq,2.885266459,Alcalus_baluensis,0.1436,2.3751,23.5
105,MVZ188063,DA,semiaquatic,Sp,9.364717667,Alsodes_gargola,0.1087,0.8834,59.84
106,MVZ188062,DA,semiaquatic,Sp,8.957212333,Alsodes_gargola,0.1087,0.8834,59.16
107,MVZ188062,DP,semiaquatic,Sp,8.526330667,Alsodes_gargola,0.1087,0.8834,59.16
108,MVZ188063,DP,semiaquatic,Sp,14.02144767,Alsodes_gargola,0.1087,0.8834,59.84
109,MVZ188063,VA,semiaquatic,Sp,10.46352657,Alsodes_gargola,0.1087,0.8834,59.84
110,MVZ188062,VA,semiaquatic,Sp,8.052296,Alsodes_gargola,0.1087,0.8834,59.16
111,MVZ188063,VP,semiaquatic,Sp,9.496350667,Alsodes_gargola,0.1087,0.8834,59.84
112,MVZ188062,VP,semiaquatic,Sp,9.371400333,Alsodes_gargola,0.1087,0.8834,59.16
113,MVZ188062,DA,semiaquatic,Sq,2.359275501,Alsodes_gargola,0.1087,0.8834,59.16
114,MVZ188063,VA,semiaquatic,Sq,1.066589641,Alsodes_gargola,0.1087,0.8834,59.84
115,MVZ188063,DP,semiaquatic,Sq,3.016493288,Alsodes_gargola,0.1087,0.8834,59.84
116,MVZ188063,DA,semiaquatic,Sq,2.181565133,Alsodes_gargola,0.1087,0.8834,59.84
117,MVZ188062,DP,semiaquatic,Sq,1.823121848,Alsodes_gargola,0.1087,0.8834,59.16
118,MVZ188062,VA,semiaquatic,Sq,1.043245327,Alsodes_gargola,0.1087,0.8834,59.16
119,MVZ188062,VP,semiaquatic,Sq,1.338211035,Alsodes_gargola,0.1087,0.8834,59.16
120,MVZ188063,VP,semiaquatic,Sq,1.495795846,Alsodes_gargola,0.1087,0.8834,59.84
121,KU162222,DA,terrestrial_leaflitter,Sp,9.5777855,Alsodes_vanzolinii,0.1005,1.4454,50.09
122,KU162222,VP,terrestrial_leaflitter,Sp,6.005022,Alsodes_vanzolinii,0.1005,1.4454,50.09
123,KU162222,VA,terrestrial_leaflitter,Sp,8.425486333,Alsodes_vanzolinii,0.1005,1.4454,50.09
124,KU162223,DP,terrestrial_leaflitter,Sp,5.672245667,Alsodes_vanzolinii,0.1005,1.4454,37.99
125,KU162223,DA,terrestrial_leaflitter,Sp,5.6243448,Alsodes_vanzolinii,0.1005,1.4454,37.99
126,KU162223,VP,terrestrial_leaflitter,Sp,2.8722946,Alsodes_vanzolinii,0.1005,1.4454,37.99
127,KU162223,VA,terrestrial_leaflitter,Sp,3.542359467,Alsodes_vanzolinii,0.1005,1.4454,37.99
128,KU162222,DP,terrestrial_leaflitter,Sp,7.195817333,Alsodes_vanzolinii,0.1005,1.4454,50.09
129,KU162222,DA,terrestrial_leaflitter,Sq,1.225526823,Alsodes_vanzolinii,0.1005,1.4454,50.09
130,KU162222,DP,terrestrial_leaflitter,Sq,1.29680573,Alsodes_vanzolinii,0.1005,1.4454,50.09
131,KU162222,VA,terrestrial_leaflitter,Sq,1.515668679,Alsodes_vanzolinii,0.1005,1.4454,50.09
132,KU162222,VP,terrestrial_leaflitter,Sq,1.352285109,Alsodes_vanzolinii,0.1005,1.4454,50.09
133,KU162223,VP,terrestrial_leaflitter,Sq,0.524257702,Alsodes_vanzolinii,0.1005,1.4454,37.99
134,KU162223,DA,terrestrial_leaflitter,Sq,0.677130497,Alsodes_vanzolinii,0.1005,1.4454,37.99
135,KU162223,VA,terrestrial_leaflitter,Sq,0.388650377,Alsodes_vanzolinii,0.1005,1.4454,37.99
136,KU162223,DP,terrestrial_leaflitter,Sq,0.490345072,Alsodes_vanzolinii,0.1005,1.4454,37.99
137,MVZ188077,DP,terrestrial_torrent,Sp,16.88441567,Alsodes_verrucosus,0.1066,1.3205,39.85
138,MVZ188077,VA,terrestrial_torrent,Sp,12.07637267,Alsodes_verrucosus,0.1066,1.3205,39.85
139,MVZ188075,VA,terrestrial_torrent,Sp,7.055109467,Alsodes_verrucosus,0.1066,1.3205,53.77
140,MVZ188077,VP,terrestrial_torrent,Sp,14.246863,Alsodes_verrucosus,0.1066,1.3205,39.85
141,MVZ188077,DA,terrestrial_torrent,Sp,12.39547733,Alsodes_verrucosus,0.1066,1.3205,39.85
142,MVZ188075,DA,terrestrial_torrent,Sp,13.59963167,Alsodes_verrucosus,0.1066,1.3205,53.77
143,MVZ188075,DP,terrestrial_torrent,Sp,10.79576767,Alsodes_verrucosus,0.1066,1.3205,53.77
144,MVZ188075,VP,terrestrial_torrent,Sp,7.654573,Alsodes_verrucosus,0.1066,1.3205,53.77
145,MVZ188077,DP,terrestrial_torrent,Sq,4.220903845,Alsodes_verrucosus,0.1066,1.3205,39.85
146,MVZ188077,VP,terrestrial_torrent,Sq,1.905024726,Alsodes_verrucosus,0.1066,1.3205,39.85
147,MVZ188077,VA,terrestrial_torrent,Sq,2.037614747,Alsodes_verrucosus,0.1066,1.3205,39.85
148,MVZ188077,DA,terrestrial_torrent,Sq,1.951748823,Alsodes_verrucosus,0.1066,1.3205,39.85
149,MVZ188075,DA,terrestrial_torrent,Sq,3.459455078,Alsodes_verrucosus,0.1066,1.3205,53.77
150,MVZ188075,VA,terrestrial_torrent,Sq,0.844502806,Alsodes_verrucosus,0.1066,1.3205,53.77
151,MVZ188075,VP,terrestrial_torrent,Sq,1.60911527,Alsodes_verrucosus,0.1066,1.3205,53.77
152,MVZ188075,DP,terrestrial_torrent,Sq,1.899179423,Alsodes_verrucosus,0.1066,1.3205,53.77
153,MVZ92757,VA,terrestrial_torrent,Sp,12.50283,Alytes_obstetricans,NA,NA,32.24
154,MVZ92766,DA,terrestrial_torrent,Sp,12.760856,Alytes_obstetricans,NA,NA,39.72
155,MVZ148866,DA,terrestrial_torrent,Sp,21.55056667,Alytes_obstetricans,0.1329,0.5631,38.45
156,MVZ73770,VP,terrestrial_torrent,Sp,5.2019054,Alytes_obstetricans,0.1376,0.613,42.19
157,MVZ73770,VA,terrestrial_torrent,Sp,6.724120433,Alytes_obstetricans,0.1376,0.613,42.19
158,MVZ92757,DA,terrestrial_torrent,Sp,21.20537067,Alytes_obstetricans,NA,NA,32.24
159,MVZ92757,DP,terrestrial_torrent,Sp,37.827253,Alytes_obstetricans,NA,NA,32.24
160,YPM4878,VP,terrestrial_torrent,Sp,14.83714833,Alytes_obstetricans,0.0782,1.2374,42.64
161,YPM4878,DP,terrestrial_torrent,Sp,12.228276,Alytes_obstetricans,0.0782,1.2374,42.64
162,MVZ148866,DP,terrestrial_torrent,Sp,15.93096233,Alytes_obstetricans,0.1329,0.5631,38.45
163,YPM4878,DA,terrestrial_torrent,Sp,15.59036667,Alytes_obstetricans,0.0782,1.2374,42.64
164,MVZ92766,VP,terrestrial_torrent,Sp,12.15464167,Alytes_obstetricans,NA,NA,39.72
165,MVZ148866,VP,terrestrial_torrent,Sp,6.715702933,Alytes_obstetricans,0.1329,0.5631,38.45
166,MVZ148866,VA,terrestrial_torrent,Sp,12.11503767,Alytes_obstetricans,0.1329,0.5631,38.45
167,MVZ92766,DP,terrestrial_torrent,Sp,18.35829667,Alytes_obstetricans,NA,NA,39.72
168,MVZ92757,VP,terrestrial_torrent,Sp,19.112155,Alytes_obstetricans,NA,NA,32.24
169,MVZ92766,VA,terrestrial_torrent,Sp,7.387765,Alytes_obstetricans,NA,NA,39.72
170,MVZ73770,DP,terrestrial_torrent,Sp,6.216953033,Alytes_obstetricans,0.1376,0.613,42.19
171,YPM4878,VA,terrestrial_torrent,Sp,9.016828933,Alytes_obstetricans,0.0782,1.2374,42.64
172,MVZ73770,DA,terrestrial_torrent,Sp,7.714004,Alytes_obstetricans,0.1376,0.613,42.19
173,MVZ92757,DA,terrestrial_torrent,Sq,5.665993087,Alytes_obstetricans,NA,NA,32.24
174,MVZ92757,DP,terrestrial_torrent,Sq,6.905909982,Alytes_obstetricans,NA,NA,32.24
175,MVZ92766,DP,terrestrial_torrent,Sq,3.90696744,Alytes_obstetricans,NA,NA,39.72
176,MVZ148866,DA,terrestrial_torrent,Sq,5.655470422,Alytes_obstetricans,0.1329,0.5631,38.45
177,MVZ92766,DA,terrestrial_torrent,Sq,3.820776132,Alytes_obstetricans,NA,NA,39.72
178,YPM4878,VP,terrestrial_torrent,Sq,5.03993239,Alytes_obstetricans,0.0782,1.2374,42.64
179,MVZ92757,VP,terrestrial_torrent,Sq,4.310432623,Alytes_obstetricans,NA,NA,32.24
180,YPM4878,VA,terrestrial_torrent,Sq,1.489666404,Alytes_obstetricans,0.0782,1.2374,42.64
181,YPM4878,DA,terrestrial_torrent,Sq,3.590099792,Alytes_obstetricans,0.0782,1.2374,42.64
182,MVZ148866,DP,terrestrial_torrent,Sq,2.998637148,Alytes_obstetricans,0.1329,0.5631,38.45
183,MVZ92766,VA,terrestrial_torrent,Sq,1.848255426,Alytes_obstetricans,NA,NA,39.72
184,MVZ73770,DP,terrestrial_torrent,Sq,1.065052453,Alytes_obstetricans,0.1376,0.613,42.19
185,MVZ73770,VP,terrestrial_torrent,Sq,1.187847919,Alytes_obstetricans,0.1376,0.613,42.19
186,MVZ92766,VP,terrestrial_torrent,Sq,2.983812679,Alytes_obstetricans,NA,NA,39.72
187,MVZ148866,VP,terrestrial_torrent,Sq,1.243687063,Alytes_obstetricans,0.1329,0.5631,38.45
188,MVZ73770,VA,terrestrial_torrent,Sq,0.751011827,Alytes_obstetricans,0.1376,0.613,42.19
189,MVZ92757,VA,terrestrial_torrent,Sq,1.777979315,Alytes_obstetricans,NA,NA,32.24
190,YPM4878,DP,terrestrial_torrent,Sq,2.241529566,Alytes_obstetricans,0.0782,1.2374,42.64
191,MVZ73770,DA,terrestrial_torrent,Sq,0.909225878,Alytes_obstetricans,0.1376,0.613,42.19
192,MVZ148866,VA,terrestrial_torrent,Sq,1.720955454,Alytes_obstetricans,0.1329,0.5631,38.45
193,KU223502,VP,terrestrial_torrent,Sp,8.425531,Ameerega_parvula,0.1181,1.8726,22.36
194,KU223502,VA,terrestrial_torrent,Sp,6.843472667,Ameerega_parvula,0.1181,1.8726,22.36
195,KU149875,DP,terrestrial_torrent,Sp,19.84870133,Ameerega_parvula,0.1202,2.8838,20.28
196,KU223502,DA,terrestrial_torrent,Sp,21.57341367,Ameerega_parvula,0.1181,1.8726,22.36
197,KU223501,VP,terrestrial_torrent,Sp,5.4783244,Ameerega_parvula,0.1194,1.7566,25.44
198,KU223501,VA,terrestrial_torrent,Sp,7.214182,Ameerega_parvula,0.1194,1.7566,25.44
199,KU223501,DP,terrestrial_torrent,Sp,24.71551867,Ameerega_parvula,0.1194,1.7566,25.44
200,KU149875,DA,terrestrial_torrent,Sp,13.396055,Ameerega_parvula,0.1202,2.8838,20.28
201,KU149806,DP,terrestrial_torrent,Sp,23.86390233,Ameerega_parvula,0.1202,2.8838,18.83
202,KU149806,VA,terrestrial_torrent,Sp,31.86070167,Ameerega_parvula,0.1202,2.8838,18.83
203,KU149806,DA,terrestrial_torrent,Sp,33.336418,Ameerega_parvula,0.1202,2.8838,18.83
204,KU149875,VA,terrestrial_torrent,Sp,6.906082,Ameerega_parvula,0.1202,2.8838,20.28
205,KU149806,VP,terrestrial_torrent,Sp,8.385445333,Ameerega_parvula,0.1202,2.8838,18.83
206,KU149875,VP,terrestrial_torrent,Sp,10.55590167,Ameerega_parvula,0.1202,2.8838,20.28
207,KU223502,DP,terrestrial_torrent,Sp,22.835865,Ameerega_parvula,0.1181,1.8726,22.36
208,KU223501,DA,terrestrial_torrent,Sp,19.61596433,Ameerega_parvula,0.1194,1.7566,25.44
209,KU149806,DA,terrestrial_torrent,Sq,11.00364968,Ameerega_parvula,0.1202,2.8838,18.83
210,KU149806,VA,terrestrial_torrent,Sq,5.186285157,Ameerega_parvula,0.1202,2.8838,18.83
211,KU223501,DP,terrestrial_torrent,Sq,6.659130394,Ameerega_parvula,0.1194,1.7566,25.44
212,KU223502,DP,terrestrial_torrent,Sq,5.279009716,Ameerega_parvula,0.1181,1.8726,22.36
213,KU149806,DP,terrestrial_torrent,Sq,5.645793779,Ameerega_parvula,0.1202,2.8838,18.83
214,KU223501,DA,terrestrial_torrent,Sq,3.663706084,Ameerega_parvula,0.1194,1.7566,25.44
215,KU149875,DA,terrestrial_torrent,Sq,2.88795329,Ameerega_parvula,0.1202,2.8838,20.28
216,KU223502,DA,terrestrial_torrent,Sq,4.776850416,Ameerega_parvula,0.1181,1.8726,22.36
217,KU223501,VA,terrestrial_torrent,Sq,1.720631129,Ameerega_parvula,0.1194,1.7566,25.44
218,KU223502,VP,terrestrial_torrent,Sq,1.817661852,Ameerega_parvula,0.1181,1.8726,22.36
219,KU149875,VP,terrestrial_torrent,Sq,1.474991129,Ameerega_parvula,0.1202,2.8838,20.28
220,KU223502,VA,terrestrial_torrent,Sq,1.591526306,Ameerega_parvula,0.1181,1.8726,22.36
221,KU223501,VP,terrestrial_torrent,Sq,1.245041909,Ameerega_parvula,0.1194,1.7566,25.44
222,KU149806,VP,terrestrial_torrent,Sq,2.116126089,Ameerega_parvula,0.1202,2.8838,18.83
223,KU149875,DP,terrestrial_torrent,Sq,4.377507401,Ameerega_parvula,0.1202,2.8838,20.28
224,KU149875,VA,terrestrial_torrent,Sq,1.258343927,Ameerega_parvula,0.1202,2.8838,20.28
225,MVZ267261,DA,terrestrial_torrent,Sp,32.84447,Amietia_angolensis,0.1959,0.3221,59.02
226,MVZ220776,DP,terrestrial_torrent,Sp,5.628086367,Amietia_angolensis,0.1164,1.1983,54.14
227,MVZ220776,DA,terrestrial_torrent,Sp,10.61642867,Amietia_angolensis,0.1164,1.1983,54.14
228,MVZ267261,VA,terrestrial_torrent,Sp,7.0529079,Amietia_angolensis,0.1959,0.3221,59.02
229,MVZ267261,DP,terrestrial_torrent,Sp,18.22042533,Amietia_angolensis,0.1959,0.3221,59.02
230,MVZ220776,VA,terrestrial_torrent,Sp,6.177895767,Amietia_angolensis,0.1164,1.1983,54.14
231,MVZ220765,VP,terrestrial_torrent,Sp,9.470866267,Amietia_angolensis,0.1164,1.1983,68.35
232,MVZ220765,DP,terrestrial_torrent,Sp,6.629173,Amietia_angolensis,0.1164,1.1983,68.35
233,MVZ220765,DA,terrestrial_torrent,Sp,8.7194804,Amietia_angolensis,0.1164,1.1983,68.35
234,MVZ220765,VA,terrestrial_torrent,Sp,5.8131305,Amietia_angolensis,0.1164,1.1983,68.35
235,MVZ267261,VP,terrestrial_torrent,Sp,7.783754,Amietia_angolensis,0.1959,0.3221,59.02
236,MVZ267261,DA,terrestrial_torrent,Sq,5.764730395,Amietia_angolensis,0.1959,0.3221,59.02
237,MVZ220776,DA,terrestrial_torrent,Sq,2.280132814,Amietia_angolensis,0.1164,1.1983,54.14
238,MVZ220765,VP,terrestrial_torrent,Sq,1.229235736,Amietia_angolensis,0.1164,1.1983,68.35
239,MVZ267261,VP,terrestrial_torrent,Sq,2.383926877,Amietia_angolensis,0.1959,0.3221,59.02
240,MVZ220765,DA,terrestrial_torrent,Sq,1.797956071,Amietia_angolensis,0.1164,1.1983,68.35
241,MVZ267261,DP,terrestrial_torrent,Sq,1.737101192,Amietia_angolensis,0.1959,0.3221,59.02
242,MVZ220765,DP,terrestrial_torrent,Sq,1.78671433,Amietia_angolensis,0.1164,1.1983,68.35
243,MVZ220776,DP,terrestrial_torrent,Sq,1.097512983,Amietia_angolensis,0.1164,1.1983,54.14
244,MVZ220776,VP,terrestrial_torrent,Sq,0.682428047,Amietia_angolensis,0.1164,1.1983,54.14
245,MVZ267261,VA,terrestrial_torrent,Sq,1.163614346,Amietia_angolensis,0.1959,0.3221,59.02
246,MVZ220776,VA,terrestrial_torrent,Sq,0.728619414,Amietia_angolensis,0.1164,1.1983,54.14
247,MVZ220765,VA,terrestrial_torrent,Sq,0.75552281,Amietia_angolensis,0.1164,1.1983,68.35
248,MVZ220776,VP,terrestrial_torrent,Sp,6.070347733,Amietia_angolensis,0.1164,1.1983,54.14
249,MVZ245225,DA,terrestrial_torrent,Sp,4.426188933,Amnirana_galamensis,0.1603,0.6405,78.19
